target_id	target	donor_species	precursor_id	precursor_name	recipient_species	literature_class	evidence_tier	literature_taxon	literature_strain	evidence_summary	citation	doi	url	screening_note
4abut	GABA	Enterocloster bolteae	asp_L	L-Aspartate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_did_not_support	Clostridium bolteae	ATCC BAA-613; CC43_001B; WAL-14578	The cultured-strain supernatant dataset did not show a reproducible twofold extracellular aspartate increase.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not meet the prespecified support rule.
4abut	GABA	Enterocloster bolteae	glu_L	L-Glutamate	Agathobacter rectalis	direct_supported	same_species_extracellular_metabolomics	Clostridium bolteae	WAL-14578	One Han et al. strain-experiment showed glutamate above twofold in every biological replicate; other experiments were condition-dependent.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Supports the donor-to-precursor step at species level, not all seven CANNEX donor GEMs and not the complete route.
4abut	GABA	Enterocloster clostridioformis	glu_L	L-Glutamate	Agathobacter rectalis	direct_supported	same_species_extracellular_metabolomics	Clostridium clostridioforme	2_1_49FAA	One Han et al. strain-experiment showed glutamate above twofold in every biological replicate; later experiments showed condition dependence.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Supports the donor-to-precursor step at species level, not both CANNEX donor GEMs and not the complete route.
4abut	GABA	Ruminococcus bicirculans	glu_L	L-Glutamate	Agathobacter rectalis	no_qualifying_direct_support	biosynthesis_only_not_release	Ruminococcus bicirculans	80/3	The genome study inferred amino-acid biosynthetic capacity but did not demonstrate extracellular glutamate release.	Wegmann et al. 2014	10.1111/1462-2920.12217	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.12217	Intracellular synthesis is not sufficient evidence for donor release.
4abut	GABA	Ruminococcus bromii	glu_L	L-Glutamate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_did_not_support	Ruminococcus bromii	ATCC 27255	The cultured-strain supernatant dataset did not show a meaningful extracellular glutamate increase.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not meet the prespecified support rule.
but	Butyrate	Enterocloster bolteae	acald	Acetaldehyde	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Enterocloster bolteae	Not applicable	No direct same-species extracellular acetaldehyde-production evidence was found in the targeted primary-source search.	Targeted primary-literature search			Acetaldehyde was not measured in the Han et al. library used for direct strain-level comparison.
but	Butyrate	Enterocloster clostridioformis	acald	Acetaldehyde	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Enterocloster clostridioformis	Not applicable	No direct same-species extracellular acetaldehyde-production evidence was found in the targeted primary-source search.	Targeted primary-literature search			Acetaldehyde was not measured in the Han et al. library used for direct strain-level comparison.
but	Butyrate	Ruminococcus bicirculans	acald	Acetaldehyde	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Ruminococcus bicirculans	80/3	The primary genome and growth study did not demonstrate extracellular acetaldehyde release.	Wegmann et al. 2014	10.1111/1462-2920.12217	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.12217	No qualifying same-species acetaldehyde-release evidence was found.
but	Butyrate	Ruminococcus bromii	acald	Acetaldehyde	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Ruminococcus bromii	L2-63; ATCC 27255	Primary culture studies reported other fermentation products, not acetaldehyde release.	Laverde Gomez et al. 2019	10.1111/1462-2920.14454	https://pmc.ncbi.nlm.nih.gov/articles/PMC6378601/	No qualifying same-species acetaldehyde-release evidence was found.
but	Butyrate	Enterocloster bolteae	lac_D	D-Lactate	Agathobacter rectalis	no_qualifying_direct_support	stereochemistry_unresolved	Clostridium bolteae	ATCC BAA-613T and related isolates	The species description reported lactic acid, but not the D-enantiomer specifically; Han et al. did not resolve lactate stereochemistry and did not show supporting accumulation.	Song et al. 2003	10.1078/072320203322337353	https://www.sciencedirect.com/science/article/pii/S0723202004701630	Unresolved total lactate was not accepted as direct support for D-lactate.
but	Butyrate	Ruminococcus bicirculans	lac_D	D-Lactate	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Ruminococcus bicirculans	80/3	The primary genome and growth study did not demonstrate extracellular D-lactate release.	Wegmann et al. 2014	10.1111/1462-2920.12217	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.12217	No qualifying same-species D-lactate-release evidence was found.
but	Butyrate	Enterocloster bolteae	etoh	Ethanol	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Enterocloster bolteae	Not applicable	No direct same-species extracellular ethanol-production evidence was found in the targeted primary-source search.	Targeted primary-literature search			Ethanol was not measured in the Han et al. library used for direct strain-level comparison.
but	Butyrate	Enterocloster clostridioformis	etoh	Ethanol	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Enterocloster clostridioformis	Not applicable	No direct same-species extracellular ethanol-production evidence was found in the targeted primary-source search.	Targeted primary-literature search			Ethanol was not measured in the Han et al. library used for direct strain-level comparison.
but	Butyrate	Ruminococcus bicirculans	etoh	Ethanol	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Ruminococcus bicirculans	80/3	The primary genome and growth study did not demonstrate extracellular ethanol release.	Wegmann et al. 2014	10.1111/1462-2920.12217	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.12217	No qualifying same-species ethanol-release evidence was found.
but	Butyrate	Ruminococcus bromii	etoh	Ethanol	Agathobacter rectalis	direct_supported	exact_strain_culture_product	Ruminococcus bromii	L2-63	Ethanol was directly measured as a major fermentation product in R. bromii L2-63 monoculture grown on resistant starch.	Laverde Gomez et al. 2019	10.1111/1462-2920.14454	https://pmc.ncbi.nlm.nih.gov/articles/PMC6378601/	Exact-strain support exists for one of the four CANNEX donor GEMs; this does not establish all-strain release or the complete route.
but	Butyrate	Enterocloster bolteae	fum	Fumarate	Agathobacter rectalis	direct_supported	same_species_extracellular_metabolomics	Clostridium bolteae	ATCC BAA-613; WAL-14578	At least one strain-experiment showed fumarate above twofold in every biological replicate in cultured-strain supernatants.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Supports the donor-to-precursor step at species level, not all seven CANNEX donor GEMs and not the complete route.
but	Butyrate	Enterocloster clostridioformis	fum	Fumarate	Agathobacter rectalis	direct_supported	same_species_extracellular_metabolomics	Clostridium clostridioforme	WAL-7855	One Han et al. strain-experiment showed fumarate above twofold in every biological replicate; other experiments were condition-dependent.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Supports the donor-to-precursor step at species level, not both CANNEX donor GEMs and not the complete route.
but	Butyrate	Ruminococcus bicirculans	fum	Fumarate	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Ruminococcus bicirculans	80/3	The primary genome and growth study did not demonstrate extracellular fumarate release.	Wegmann et al. 2014	10.1111/1462-2920.12217	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.12217	No qualifying same-species fumarate-release evidence was found.
but	Butyrate	Enterocloster bolteae	asp_L	L-Aspartate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_did_not_support	Clostridium bolteae	ATCC BAA-613; CC43_001B; WAL-14578	The cultured-strain supernatant dataset did not show a reproducible twofold extracellular aspartate increase.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not meet the prespecified support rule.
but	Butyrate	Enterocloster bolteae	lac_L	L-Lactate	Agathobacter rectalis	no_qualifying_direct_support	stereochemistry_unresolved	Clostridium bolteae	ATCC BAA-613T and related isolates	The species description reported lactic acid, but not the L-enantiomer specifically; Han et al. did not resolve lactate stereochemistry and did not show supporting accumulation.	Song et al. 2003	10.1078/072320203322337353	https://www.sciencedirect.com/science/article/pii/S0723202004701630	Unresolved total lactate was not accepted as direct support for L-lactate.
but	Butyrate	Enterocloster clostridioformis	lac_L	L-Lactate	Agathobacter rectalis	no_qualifying_direct_support	stereochemistry_unresolved	Clostridium clostridioforme	2_1_49FAA; WAL-7855	Han et al. measured unresolved lactate and found depletion rather than accumulation in the tested cultures.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	No qualifying L-lactate-specific release evidence was found.
but	Butyrate	Ruminococcus bromii	lac_L	L-Lactate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_did_not_support	Ruminococcus bromii	ATCC 27255	The cultured-strain supernatant dataset showed lactate depletion, not extracellular accumulation.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not support this donor step.
but	Butyrate	Enterocloster bolteae	thr_L	L-Threonine	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_below_threshold	Clostridium bolteae	ATCC BAA-613; CC43_001B; WAL-14578	Small positive changes were present in cultured-strain supernatants, but no strain-experiment reached a reproducible twofold increase.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not meet the prespecified support rule.
but	Butyrate	Enterocloster bolteae	succ	Succinate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_below_threshold	Clostridium bolteae	ATCC BAA-613; CC43_001B; WAL-14578	The cultured-strain supernatant data were condition-dependent and did not show a reproducible twofold succinate increase.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not meet the prespecified support rule.
but	Butyrate	Enterocloster clostridioformis	succ	Succinate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_below_threshold	Clostridium clostridioforme	2_1_49FAA; WAL-7855	The cultured-strain supernatant data were condition-dependent and did not show a reproducible twofold succinate increase.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not meet the prespecified support rule.
but	Butyrate	Ruminococcus bicirculans	succ	Succinate	Agathobacter rectalis	no_qualifying_direct_support	no_direct_release_evidence_found	Ruminococcus bicirculans	80/3	The primary genome and growth study did not demonstrate extracellular succinate release.	Wegmann et al. 2014	10.1111/1462-2920.12217	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.12217	No qualifying same-species succinate-release evidence was found.
but	Butyrate	Ruminococcus bromii	succ	Succinate	Agathobacter rectalis	no_qualifying_direct_support	direct_measurement_did_not_support	Ruminococcus bromii	ATCC 27255	The cultured-strain supernatant dataset showed succinate depletion, not extracellular accumulation.	Han et al. 2021	10.1038/s41586-021-03707-9	https://www.nature.com/articles/s41586-021-03707-9	Same-species direct data were found, but they did not support this donor step.
